,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s),latency,uBandwidth,dBandwidth,measuremntsDuration,MasurementsStartedAt
0,IBLT,90,90,10000,True,1366.0,7405.0,0.305534,0.0,0.005283,,,,,
1,IBLT,90,90,10000,True,7405.0,1366.0,0.497435,128.707,2.2e-05,-2.0,-4.0,-4.0,12504.0,2022-06-01 06:35:57
2,IBLT,90,90,10000,True,1366.0,7405.0,0.240726,0.0,0.005619,,,,,
3,IBLT,90,90,10000,True,7405.0,1366.0,0.338771,0.093016,1.9e-05,94.5,-4.0,-4.0,4505.0,2022-06-01 06:38:49
4,IBLT,90,90,10000,True,1366.0,7405.0,0.240784,0.0,0.005641,,,,,
5,IBLT,90,90,10000,True,7405.0,1366.0,0.338482,0.094979,1.7e-05,96.3,-4.0,-4.0,4504.0,2022-06-01 06:38:57
6,IBLT,90,90,10000,True,1366.0,7405.0,0.324752,0.0,0.005457,,,,,
7,IBLT,90,90,10000,True,7405.0,1366.0,0.427397,0.075553,1.8e-05,76.9,-4.0,-4.0,4504.0,2022-06-01 06:39:04
8,IBLT,90,90,10000,True,1366.0,7405.0,0.691613,0.0,0.0054,,,,,
9,IBLT,90,90,10000,True,7405.0,1366.0,0.821489,0.055501,2e-05,62.6,-4.0,-4.0,4510.0,2022-06-01 06:39:34
10,IBLT,90,90,10000,True,1366.0,7405.0,1.55699,0.0,0.005318,,,,,
11,IBLT,90,90,10000,True,7405.0,1366.0,2.1904,1.07721,1.9e-05,147.0,-4.0,-4.0,4504.0,2022-06-01 06:39:43
12,IBLT,90,90,10000,True,1366.0,7405.0,0.330563,0.0,0.00528,,,,,
13,IBLT,90,90,10000,True,7405.0,1366.0,0.411556,0.096269,2.1e-05,98.7,-4.0,-4.0,4505.0,2022-06-01 06:40:13
14,IBLT,90,90,10000,True,1366.0,7405.0,0.995236,0.0,0.005277,,,,,
15,IBLT,90,90,10000,True,7405.0,1366.0,1.13291,1.05694,2.1e-05,98.1,-4.0,-4.0,4504.0,2022-06-01 06:40:20
16,IBLT,90,90,10000,True,1366.0,7405.0,0.295593,0.0,0.005513,,,,,
17,IBLT,90,90,10000,True,7405.0,1366.0,0.434814,0.095107,1.9e-05,96.2,-4.0,-4.0,4505.0,2022-06-01 06:40:50
18,IBLT,90,90,10000,True,1366.0,7405.0,0.243222,0.0,0.00528,,,,,
19,IBLT,90,90,10000,True,7405.0,1366.0,0.343524,0.091039,1.7e-05,92.2,-4.0,-4.0,4504.0,2022-06-01 06:41:20
20,IBLT,80,80,10000,True,1217.0,6754.0,0.261918,0.0,0.004792,,,,,
21,IBLT,80,80,10000,True,6754.0,1217.0,0.460601,0.061198,1.4e-05,77.7,-4.0,-4.0,4518.0,2022-06-01 06:31:55
22,IBLT,80,80,10000,True,1217.0,6754.0,0.313672,0.0,0.00479,,,,,
23,IBLT,80,80,10000,True,6754.0,1217.0,0.94951,0.070381,1.3e-05,73.3,-4.0,-4.0,4504.0,2022-06-01 06:32:02
24,IBLT,80,80,10000,True,1217.0,6754.0,0.25182,0.0,0.00477,,,,,
25,IBLT,80,80,10000,True,6754.0,1217.0,0.600566,0.113971,1.3e-05,59.9,-4.0,-4.0,4504.0,2022-06-01 06:32:10
26,IBLT,80,80,10000,True,1217.0,6754.0,0.25106,0.0,0.005307,,,,,
27,IBLT,80,80,10000,True,6754.0,1217.0,0.342535,0.074243,1.5e-05,75.6,-4.0,-4.0,4504.0,2022-06-01 06:32:40
28,IBLT,80,80,10000,True,1217.0,6754.0,0.253427,0.0,0.00814,,,,,
29,IBLT,80,80,10000,True,6754.0,1217.0,0.347471,0.057523,1.5e-05,58.5,-4.0,-4.0,4504.0,2022-06-01 06:33:10
30,IBLT,80,80,10000,True,1217.0,6754.0,0.311819,0.0,0.004769,,,,,
31,IBLT,80,80,10000,True,6754.0,1217.0,0.45861,0.085625,1.4e-05,86.8,-4.0,-4.0,4504.0,2022-06-01 06:33:40
32,IBLT,80,80,10000,True,1217.0,6754.0,0.311863,0.0,0.005064,,,,,
33,IBLT,80,80,10000,True,6754.0,1217.0,0.417576,0.066364,1.4e-05,69.6,-4.0,-4.0,4504.0,2022-06-01 06:34:10
34,IBLT,80,80,10000,True,1217.0,6754.0,0.294778,0.0,0.004761,,,,,
35,IBLT,80,80,10000,True,6754.0,1217.0,0.378388,0.091825,1.3e-05,93.2,-4.0,-4.0,4504.0,2022-06-01 06:34:40
36,IBLT,80,80,10000,True,1217.0,6754.0,0.318653,0.0,0.004888,,,,,
37,IBLT,80,80,10000,True,6754.0,1217.0,0.45851,0.070858,1.3e-05,72.0,-4.0,-4.0,4504.0,2022-06-01 06:35:10
38,IBLT,80,80,10000,True,1217.0,6754.0,0.434774,0.0,0.004769,,,,,
39,IBLT,80,80,10000,True,6754.0,1217.0,0.857553,0.071643,1.3e-05,71.8,-4.0,-4.0,4504.0,2022-06-01 06:35:18
40,IBLT,70,70,10000,True,1065.0,5900.0,0.369122,0.0,0.004132,,,,,
41,IBLT,70,70,10000,True,5900.0,1065.0,0.582466,257.765,1.4e-05,124.0,-4.0,-4.0,4504.0,2022-06-01 06:25:38
42,IBLT,70,70,10000,True,1065.0,5900.0,0.327338,0.0,0.004282,,,,,
43,IBLT,70,70,10000,True,5900.0,1065.0,0.429309,0.091904,1.3e-05,93.3,-4.0,-4.0,4505.0,2022-06-01 06:30:03
44,IBLT,70,70,10000,True,1065.0,5900.0,0.283303,0.0,0.004087,,,,,
45,IBLT,70,70,10000,True,5900.0,1065.0,0.373284,0.058851,1.4e-05,61.4,-4.0,-4.0,4504.0,2022-06-01 06:30:11
46,IBLT,70,70,10000,True,1065.0,5900.0,0.302393,0.0,0.004275,,,,,
