,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.478884,0.144123,0.000106
1,CPI,0,0,10000,True,62.0,13.0,0.361195,0.290773,3.3e-05
2,CPI,0,0,10000,True,13.0,62.0,0.481024,28.3264,7.6e-05
3,CPI,0,0,10000,True,62.0,13.0,0.359892,0.276653,3.3e-05
4,CPI,0,0,10000,True,13.0,62.0,0.479916,0.152267,5.9e-05
5,CPI,0,0,10000,True,62.0,13.0,0.36086,0.287745,3e-05
6,CPI,0,0,10000,True,13.0,62.0,0.48014,0.140955,5.7e-05
7,CPI,0,0,10000,True,62.0,13.0,0.361961,0.29113,3.5e-05
8,CPI,0,0,10000,True,13.0,62.0,0.480047,27.6482,7.3e-05
9,CPI,0,0,10000,True,62.0,13.0,0.36103,0.292295,3.4e-05
10,CPI,0,0,10000,True,13.0,62.0,0.479978,0.134391,7.4e-05
11,CPI,0,0,10000,True,62.0,13.0,0.360872,0.27474,3.5e-05
12,CPI,0,0,10000,True,13.0,62.0,0.479892,27.7281,7.6e-05
13,CPI,0,0,10000,True,62.0,13.0,0.361255,0.274374,3.5e-05
14,CPI,0,0,10000,True,13.0,62.0,0.480089,0.146598,5.8e-05
15,CPI,0,0,10000,True,62.0,13.0,0.360965,0.292974,3.1e-05
16,CPI,0,0,10000,True,13.0,62.0,0.480002,27.7297,7.2e-05
17,CPI,0,0,10000,True,62.0,13.0,0.361674,0.274686,3.6e-05
18,CPI,0,0,10000,True,13.0,62.0,0.480237,27.6712,7e-05
19,CPI,0,0,10000,True,62.0,13.0,0.361039,0.274027,3.7e-05
20,IBLT,60,60,10000,True,917.0,5025.0,0.251604,0.118288,0.003819
21,IBLT,60,60,10000,True,5025.0,917.0,0.410256,0.070481,1.6e-05
22,IBLT,60,60,10000,True,917.0,5025.0,0.251651,28.0353,0.004092
23,IBLT,60,60,10000,True,5025.0,917.0,0.338374,0.091071,1.9e-05
24,IBLT,60,60,10000,True,917.0,5025.0,0.252727,0.109148,0.003851
25,IBLT,60,60,10000,True,5025.0,917.0,0.338168,0.065419,1.9e-05
26,IBLT,60,60,10000,True,917.0,5025.0,0.251433,0.143561,0.003844
27,IBLT,60,60,10000,True,5025.0,917.0,0.339239,0.091835,1.7e-05
28,IBLT,60,60,10000,True,917.0,5025.0,0.252418,0.140528,0.003845
29,IBLT,60,60,10000,True,5025.0,917.0,0.338366,0.096319,1.8e-05
30,IBLT,60,60,10000,True,917.0,5025.0,0.25145,0.139056,0.003855
31,IBLT,60,60,10000,True,5025.0,917.0,0.338435,0.078266,1.6e-05
32,IBLT,60,60,10000,True,917.0,5025.0,0.25167,0.126647,0.003861
33,IBLT,60,60,10000,True,5025.0,917.0,0.339451,0.084556,1.7e-05
34,IBLT,60,60,10000,True,917.0,5025.0,0.251587,27.6479,0.003876
35,IBLT,60,60,10000,True,5025.0,917.0,0.339406,0.096143,1.8e-05
36,IBLT,60,60,10000,True,917.0,5025.0,0.251675,27.5316,0.003941
37,IBLT,60,60,10000,True,5025.0,917.0,0.339405,0.084356,1.7e-05
38,IBLT,60,60,10000,True,917.0,5025.0,0.251722,27.6327,0.004098
39,IBLT,60,60,10000,True,5025.0,917.0,0.338328,0.071515,2.3e-05
40,CPI,1000,1000,10000,True,8009.0,8062.0,0.464541,0.110733,17.0978
41,CPI,1000,1000,10000,True,8062.0,8009.0,0.402341,17.3306,0.003419
42,CPI,1000,1000,10000,True,8009.0,8062.0,0.464623,0.129075,17.1916
43,CPI,1000,1000,10000,True,8062.0,8009.0,0.404656,17.4248,0.003452
44,CPI,1000,1000,10000,True,8009.0,8062.0,0.464619,0.131494,17.1055
45,CPI,1000,1000,10000,True,8062.0,8009.0,0.407593,17.3582,0.003396
46,CPI,1000,1000,10000,True,8009.0,8062.0,0.465063,7.70866,17.2479
47,CPI,1000,1000,10000,True,8062.0,8009.0,0.404944,17.5109,0.003432
48,CPI,1000,1000,10000,True,8009.0,8062.0,0.46502,7.56486,17.6323
49,CPI,1000,1000,10000,True,8062.0,8009.0,0.406931,17.8734,0.003406
50,CPI,1000,1000,10000,True,8009.0,8062.0,0.46478,6.29932,17.0729
51,CPI,1000,1000,10000,True,8062.0,8009.0,0.407965,17.2969,0.0034
52,CPI,1000,1000,10000,True,8009.0,8062.0,0.466444,0.12765,17.0833
53,CPI,1000,1000,10000,True,8062.0,8009.0,0.402963,17.3528,0.003438
54,CPI,1000,1000,10000,True,8009.0,8062.0,0.466567,7.77117,17.1336
55,CPI,1000,1000,10000,True,8062.0,8009.0,0.403011,17.3826,0.003397
56,CPI,1000,1000,10000,True,8009.0,8062.0,0.464407,7.73311,17.1041
57,CPI,1000,1000,10000,True,8062.0,8009.0,0.406951,17.3666,0.003401
58,CPI,1000,1000,10000,True,8009.0,8062.0,0.466839,7.64005,17.1833
59,CPI,1000,1000,10000,True,8062.0,8009.0,0.402887,17.4169,0.003404
60,CPI,100,100,10000,True,809.0,862.0,0.490702,0.115727,0.082241
61,CPI,100,100,10000,True,862.0,809.0,0.379528,0.351428,0.000374
62,CPI,100,100,10000,True,809.0,862.0,0.490493,0.119275,0.081114
63,CPI,100,100,10000,True,862.0,809.0,0.379326,0.349025,0.000375
