,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,90,90,10000,True,729.0,782.0,0.490657,0.0,0.23094
1,CPI,90,90,10000,True,782.0,729.0,0.378672,0.37254,0.000371
2,CPI,90,90,10000,True,729.0,782.0,0.490522,0.0,26.3467
3,CPI,90,90,10000,True,782.0,729.0,0.378638,0.352401,0.000377
4,CPI,90,90,10000,True,729.0,782.0,0.490621,0.0,27.4913
5,CPI,90,90,10000,True,782.0,729.0,0.378465,0.342567,0.000356
6,CPI,90,90,10000,True,729.0,782.0,0.490525,0.0,27.5033
7,CPI,90,90,10000,True,782.0,729.0,0.378409,0.371908,0.000351
8,CPI,90,90,10000,True,729.0,782.0,0.490631,0.0,0.207293
9,CPI,90,90,10000,True,782.0,729.0,0.378811,0.368764,0.000364
10,CPI,90,90,10000,True,729.0,782.0,0.490668,0.0,27.4931
11,CPI,90,90,10000,True,782.0,729.0,0.378567,0.35397,0.000349
12,CPI,90,90,10000,True,729.0,782.0,0.490712,0.0,27.4597
13,CPI,90,90,10000,True,782.0,729.0,0.378764,0.345857,0.000354
14,CPI,90,90,10000,True,729.0,782.0,0.490804,0.0,27.4729
15,CPI,90,90,10000,True,782.0,729.0,0.378336,0.348727,0.000353
16,CPI,90,90,10000,True,729.0,782.0,0.490596,0.0,0.197365
17,CPI,90,90,10000,True,782.0,729.0,0.379052,0.337396,0.000343
18,CPI,90,90,10000,True,729.0,782.0,0.490572,0.0,27.4608
19,CPI,90,90,10000,True,782.0,729.0,0.378379,0.352598,0.00035
20,CPI,90,90,10000,True,729.0,782.0,0.49059,0.0,27.4852
21,CPI,90,90,10000,True,782.0,729.0,0.378593,0.355995,0.000351
22,CPI,90,90,10000,True,729.0,782.0,0.490587,0.0,27.5064
23,CPI,90,90,10000,True,782.0,729.0,0.378555,0.367525,0.000355
24,CPI,90,90,10000,True,729.0,782.0,0.490579,0.0,27.4775
25,CPI,90,90,10000,True,782.0,729.0,0.378567,0.359368,0.00035
26,CPI,90,90,10000,True,729.0,782.0,0.490701,0.0,26.5008
27,CPI,90,90,10000,True,782.0,729.0,0.378534,0.356653,0.000357
28,CPI,90,90,10000,True,729.0,782.0,0.490617,0.0,0.215465
29,CPI,90,90,10000,True,782.0,729.0,0.378547,0.375591,0.000356
30,CPI,90,90,10000,True,729.0,782.0,0.490583,0.0,27.484
31,CPI,90,90,10000,True,782.0,729.0,0.379461,0.367943,0.00035
32,CPI,90,90,10000,True,729.0,782.0,0.490601,0.0,27.476
33,CPI,90,90,10000,True,782.0,729.0,0.378905,0.350529,0.000345
34,CPI,90,90,10000,True,729.0,782.0,0.49059,0.0,27.4721
35,CPI,90,90,10000,True,782.0,729.0,0.378756,0.360199,0.000357
36,CPI,90,90,10000,True,729.0,782.0,0.490505,0.0,27.5101
37,CPI,90,90,10000,True,782.0,729.0,0.378361,0.36625,0.000352
38,CPI,90,90,10000,True,729.0,782.0,0.490317,0.0,27.3788
39,CPI,90,90,10000,True,782.0,729.0,0.378278,0.36655,0.000354
40,CPI,90,90,10000,True,729.0,782.0,0.490295,0.0,27.5002
41,CPI,90,90,10000,True,782.0,729.0,0.3785,0.372103,0.000366
42,CPI,90,90,10000,True,729.0,782.0,0.490718,0.0,0.215626
43,CPI,90,90,10000,True,782.0,729.0,0.378755,0.367741,0.000342
44,CPI,90,90,10000,True,729.0,782.0,0.490618,0.0,27.5001
