,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.479952,0.0,9.6e-05
1,CPI,0,0,10000,True,62.0,13.0,0.359913,0.282863,2.9e-05
2,CPI,0,0,10000,True,13.0,62.0,0.480126,0.0,5.3e-05
3,CPI,0,0,10000,True,62.0,13.0,0.360001,0.275248,3e-05
4,CPI,0,0,10000,True,13.0,62.0,0.480127,0.0,6.3e-05
5,CPI,0,0,10000,True,62.0,13.0,0.35997,0.910874,3.2e-05
6,CPI,0,0,10000,True,13.0,62.0,0.479715,0.0,5.2e-05
7,CPI,0,0,10000,True,62.0,13.0,0.359848,0.293332,3.1e-05
8,CPI,0,0,10000,True,13.0,62.0,0.876056,0.0,5.5e-05
9,CPI,0,0,10000,True,62.0,13.0,0.762039,0.276873,3e-05
10,CPI,0,0,10000,True,13.0,62.0,0.479931,0.0,6.7e-05
11,CPI,0,0,10000,True,62.0,13.0,0.360679,0.278314,3.3e-05
12,CPI,0,0,10000,True,13.0,62.0,0.720814,0.0,6.5e-05
13,CPI,0,0,10000,True,62.0,13.0,0.601092,0.260937,3.4e-05
14,CPI,0,0,10000,True,13.0,62.0,0.606952,0.0,6.5e-05
15,CPI,0,0,10000,True,62.0,13.0,0.479141,130.696,3.2e-05
16,CPI,0,0,10000,True,13.0,62.0,0.606984,0.0,6.5e-05
17,CPI,0,0,10000,True,62.0,13.0,0.479706,0.328258,2.9e-05
18,CPI,0,0,10000,True,13.0,62.0,0.606958,0.0,7.2e-05
19,CPI,0,0,10000,True,62.0,13.0,0.480245,0.302192,3.3e-05
20,CPI,1000,1000,10000,True,8009.0,8062.0,1.38207,0.0,17.2868
21,CPI,1000,1000,10000,True,8062.0,8009.0,0.516545,18.331,0.003385
22,CPI,1000,1000,10000,True,8009.0,8062.0,0.508721,0.0,17.3244
23,CPI,1000,1000,10000,True,8062.0,8009.0,0.432777,17.6101,0.003397
24,CPI,1000,1000,10000,True,8008.0,8062.0,0.774091,0.0,17.4496
25,CPI,1000,1000,10000,True,8062.0,8008.0,0.642837,17.767,0.003403
26,CPI,1000,1000,10000,True,8009.0,8062.0,1.4219,0.0,17.6993
27,CPI,1000,1000,10000,True,8062.0,8009.0,0.512996,18.79,0.003391
28,CPI,1000,1000,10000,True,8009.0,8062.0,1.16962,0.0,17.2384
29,CPI,1000,1000,10000,True,8062.0,8009.0,1.14525,18.2246,0.003417
30,CPI,1000,1000,10000,True,8009.0,8062.0,0.998871,0.0,17.4454
31,CPI,1000,1000,10000,True,8062.0,8009.0,0.531763,18.1472,0.003418
32,CPI,1000,1000,10000,True,8009.0,8062.0,0.516948,0.0,17.3597
33,CPI,1000,1000,10000,True,8062.0,8009.0,0.913187,17.6521,0.003408
34,CPI,1000,1000,10000,True,8009.0,8062.0,0.507555,0.0,17.422
35,CPI,1000,1000,10000,True,8062.0,8009.0,0.483855,17.6673,0.003418
36,CPI,1000,1000,10000,True,8009.0,8062.0,0.508034,0.0,17.424
37,CPI,1000,1000,10000,True,8062.0,8009.0,0.423724,17.6995,0.003414
38,CPI,1000,1000,10000,True,8009.0,8062.0,0.50843,0.0,17.2636
39,CPI,1000,1000,10000,True,8062.0,8009.0,0.443874,17.5109,0.003384
40,CPI,100,100,10000,True,809.0,862.0,0.490228,0.0,0.080728
41,CPI,100,100,10000,True,862.0,809.0,0.3801,0.336497,0.000373
42,CPI,100,100,10000,True,809.0,862.0,0.492771,0.0,0.080033
43,CPI,100,100,10000,True,862.0,809.0,0.379659,0.341102,0.000374
44,CPI,100,100,10000,True,809.0,862.0,0.490625,0.0,0.079467
