,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,IBLT,90,90,10000,True,1366.0,7405.0,0.248467,0.0,0.005262
1,IBLT,90,90,10000,True,7405.0,1366.0,0.450374,0.086731,1.5e-05
2,IBLT,90,90,10000,True,1366.0,7405.0,0.243086,0.0,0.005346
3,IBLT,90,90,10000,True,7405.0,1366.0,0.338271,0.079386,1.7e-05
4,IBLT,90,90,10000,True,1366.0,7405.0,0.59725,0.0,0.005279
5,IBLT,90,90,10000,True,7405.0,1366.0,0.703701,0.097275,1.7e-05
6,IBLT,90,90,10000,True,1366.0,7405.0,0.244744,0.0,0.005259
7,IBLT,90,90,10000,True,7405.0,1366.0,0.342447,0.070697,1.5e-05
8,IBLT,90,90,10000,True,1366.0,7405.0,0.583271,0.0,0.005335
9,IBLT,90,90,10000,True,7405.0,1366.0,0.699498,0.087812,1.7e-05
10,IBLT,90,90,10000,True,1366.0,7405.0,0.295364,0.0,0.005406
11,IBLT,90,90,10000,True,7405.0,1366.0,0.388867,0.060892,1.6e-05
12,IBLT,90,90,10000,True,1366.0,7405.0,0.28446,0.0,0.005256
13,IBLT,90,90,10000,True,7405.0,1366.0,0.379569,0.081048,1.7e-05
14,IBLT,90,90,10000,True,1366.0,7405.0,0.241754,0.0,0.005288
15,IBLT,90,90,10000,True,7405.0,1366.0,0.344843,0.084731,1.6e-05
16,IBLT,90,90,10000,True,1366.0,7405.0,0.242413,0.0,0.005332
17,IBLT,90,90,10000,True,7405.0,1366.0,0.331588,0.08183,1.7e-05
18,IBLT,90,90,10000,True,1366.0,7405.0,0.282387,0.0,0.005295
19,IBLT,90,90,10000,True,7405.0,1366.0,0.425514,0.090444,1.6e-05
20,IBLT,80,80,10000,True,1217.0,6754.0,0.291069,0.0,0.004753
21,IBLT,80,80,10000,True,6754.0,1217.0,0.657299,0.078842,1.7e-05
22,IBLT,80,80,10000,True,1217.0,6754.0,0.252085,0.0,0.004852
23,IBLT,80,80,10000,True,6754.0,1217.0,0.34524,0.081085,1.7e-05
24,IBLT,80,80,10000,True,1217.0,6754.0,0.251741,0.0,0.004798
25,IBLT,80,80,10000,True,6754.0,1217.0,0.339065,0.080168,1.5e-05
26,IBLT,80,80,10000,True,1217.0,6754.0,0.291812,0.0,0.004889
27,IBLT,80,80,10000,True,6754.0,1217.0,0.848316,0.067443,1.6e-05
28,IBLT,80,80,10000,True,1217.0,6754.0,0.290766,0.0,0.004764
29,IBLT,80,80,10000,True,6754.0,1217.0,0.378358,0.075104,1.6e-05
30,IBLT,80,80,10000,True,1217.0,6754.0,0.25467,0.0,0.004882
31,IBLT,80,80,10000,True,6754.0,1217.0,0.338432,0.067098,1.6e-05
32,IBLT,80,80,10000,True,1217.0,6754.0,0.291698,0.0,0.004812
33,IBLT,80,80,10000,True,6754.0,1217.0,0.376985,0.057905,1.6e-05
34,IBLT,80,80,10000,True,1217.0,6754.0,0.25064,0.0,0.00497
35,IBLT,80,80,10000,True,6754.0,1217.0,0.340036,0.08753,1.6e-05
36,IBLT,80,80,10000,True,1217.0,6754.0,0.439261,0.0,0.004745
37,IBLT,80,80,10000,True,6754.0,1217.0,1.01154,0.096487,1.7e-05
38,IBLT,80,80,10000,True,1217.0,6754.0,0.582418,0.0,0.005481
39,IBLT,80,80,10000,True,6754.0,1217.0,0.669605,0.058928,1.9e-05
40,IBLT,70,70,10000,True,1065.0,5900.0,0.282219,0.0,0.00408
41,IBLT,70,70,10000,True,5900.0,1065.0,0.450526,0.092851,1.3e-05
42,IBLT,70,70,10000,True,1065.0,5900.0,0.241225,0.0,0.00411
43,IBLT,70,70,10000,True,5900.0,1065.0,0.33925,0.087457,1.6e-05
44,IBLT,70,70,10000,True,1065.0,5900.0,0.611208,0.0,0.004394
45,IBLT,70,70,10000,True,5900.0,1065.0,0.703534,0.072518,1.4e-05
46,IBLT,70,70,10000,True,1065.0,5900.0,0.325014,0.0,0.004084
47,IBLT,70,70,10000,True,5900.0,1065.0,0.418329,0.088769,1.3e-05
48,IBLT,70,70,10000,True,1065.0,5900.0,0.281369,0.0,0.004354
49,IBLT,70,70,10000,True,5900.0,1065.0,0.378439,0.072789,1.3e-05
50,IBLT,70,70,10000,True,1065.0,5900.0,0.241328,0.0,0.004115
51,IBLT,70,70,10000,True,5900.0,1065.0,0.309407,0.100411,1.5e-05
52,IBLT,70,70,10000,True,1065.0,5900.0,0.241874,0.0,0.004098
53,IBLT,70,70,10000,True,5900.0,1065.0,0.33724,0.059916,1.5e-05
54,IBLT,70,70,10000,True,1065.0,5900.0,0.242268,0.0,0.004083
55,IBLT,70,70,10000,True,5900.0,1065.0,0.342673,0.085633,1.4e-05
56,IBLT,70,70,10000,True,1065.0,5900.0,0.282985,0.0,0.004132
57,IBLT,70,70,10000,True,5900.0,1065.0,0.371504,0.091513,1.4e-05
58,IBLT,70,70,10000,True,1065.0,5900.0,0.243175,0.0,0.004089
59,IBLT,70,70,10000,True,5900.0,1065.0,0.729412,0.082847,1.7e-05
60,IBLT,60,60,10000,True,917.0,5025.0,0.249893,0.0,0.003846
61,IBLT,60,60,10000,True,5025.0,917.0,0.411408,0.073143,1.5e-05
62,IBLT,60,60,10000,True,917.0,5025.0,0.287787,0.0,0.00497
63,IBLT,60,60,10000,True,5025.0,917.0,0.383486,0.086982,1.5e-05
64,IBLT,60,60,10000,True,917.0,5025.0,0.308465,0.0,0.003844
65,IBLT,60,60,10000,True,5025.0,917.0,0.419532,0.061631,1.5e-05
66,IBLT,60,60,10000,True,917.0,5025.0,0.29978,0.0,0.003891
67,IBLT,60,60,10000,True,5025.0,917.0,0.419115,0.093477,1.5e-05
68,IBLT,60,60,10000,True,917.0,5025.0,0.339871,0.0,0.003839
69,IBLT,60,60,10000,True,5025.0,917.0,0.435399,0.084481,1.5e-05
70,IBLT,60,60,10000,True,917.0,5025.0,0.293614,0.0,0.004137
71,IBLT,60,60,10000,True,5025.0,917.0,0.381281,0.070517,1.4e-05
72,IBLT,60,60,10000,True,917.0,5025.0,0.294542,0.0,0.003911
73,IBLT,60,60,10000,True,5025.0,917.0,0.379551,0.085632,1.4e-05
74,IBLT,60,60,10000,True,917.0,5025.0,0.300299,0.0,0.004116
75,IBLT,60,60,10000,True,5025.0,917.0,0.415328,0.070064,1.4e-05
76,IBLT,60,60,10000,True,917.0,5025.0,0.31789,0.0,0.00384
77,IBLT,60,60,10000,True,5025.0,917.0,0.415534,0.085335,1.5e-05
78,IBLT,60,60,10000,True,917.0,5025.0,0.301564,0.0,0.003831
79,IBLT,60,60,10000,True,5025.0,917.0,0.418554,0.089217,1.5e-05
80,IBLT,50,50,10000,True,765.0,4152.0,0.382811,0.0,0.002931
81,IBLT,50,50,10000,True,4152.0,765.0,0.530367,0.084365,1.5e-05
82,IBLT,50,50,10000,True,765.0,4152.0,0.255603,0.0,0.00296
83,IBLT,50,50,10000,True,4152.0,765.0,0.341059,0.065709,1.3e-05
84,IBLT,50,50,10000,True,765.0,4152.0,0.295506,0.0,0.002949
85,IBLT,50,50,10000,True,4152.0,765.0,0.381537,0.073699,1.3e-05
86,IBLT,50,50,10000,True,765.0,4152.0,0.27346,0.0,0.003007
87,IBLT,50,50,10000,True,4152.0,765.0,0.378243,0.0666,1.4e-05
