,cardinality,bytes transmitted,bytes received
0,382,2634,4150
1,282,2699,4150
2,231,2035,4150
3,347,2675,4150
4,150,899,4150
5,490,3755,4150
6,107,1515,4150
7,335,2451,4150
8,277,2243,4150
9,266,2187,4150
10,192,2275,4149
11,276,1907,4150
12,146,1243,4150
13,422,2355,4150
14,278,2195,4150
15,395,3427,4150
16,360,2531,4150
17,398,2619,4150
18,312,1979,4150
19,214,2763,4150
20,309,1363,4150
21,310,2555,4150
22,365,2443,4150
23,196,1531,4150
24,318,1875,4150
25,388,3475,4150
26,102,2155,4150
27,333,1907,4150
28,331,2995,4150
29,101,2131,4150
30,302,2155,4150
31,149,3147,4150
32,434,3611,4150
33,238,603,4150
34,299,771,4150
35,350,2643,4150
36,111,2115,4150
37,469,2459,4150
38,94,1331,4150
39,224,1171,4150
40,266,2723,4150
41,321,1339,4150
42,128,523,4150
43,216,2531,4150
44,236,1483,4150
45,427,3211,4150
46,256,2323,4150
47,192,2347,4150
48,415,1763,4150
49,382,2811,4150
50,303,2123,4150
51,62,2051,4150
52,284,3699,4150
53,288,715,4150
54,354,1443,4150
55,128,1803,4150
56,203,1203,4150
57,216,659,4150
58,181,1235,4150
59,318,1659,4150
60,370,2075,4150
61,157,579,4150
62,219,2403,4150
63,407,3723,4150
64,142,1275,4150
65,327,1339,4150
66,321,2163,4150
67,304,1251,4150
68,260,1803,4150
69,492,2155,4150
70,255,1507,4150
71,167,1547,4150
72,269,1971,4150
73,369,2483,4150
74,378,3635,4150
75,161,1875,4150
76,242,1803,4150
77,356,2011,4150
78,226,2683,4150
79,83,955,4150
80,392,3211,4150
81,256,3755,4150
82,261,435,4150
83,102,1507,4150
84,200,1459,4150
85,440,2371,4150
86,422,2515,4150
87,187,1819,4150
88,114,1035,4150
89,314,1459,4150
90,353,1715,4150
91,236,2011,4150
92,282,2347,4150
93,108,835,4150
94,185,2427,4150
95,472,3059,4150
96,92,1747,4150
97,263,1459,4150
98,252,2555,4150
99,189,2675,4150
